ID,Station Name,River Basin,County,Longitude,Latitude,ElevationFeet,Operator,Map
AMR,MERCED R AT AMSTERDAM RD,MERCED R,MERCED,-120.53889,37.46806,173,Merced Irrigation District,
BAR,BEAR,MERCED R,MARIPOSA,-120.217,37.367,319,US Army Corps of Engineers,
BDV,BLACK RASCAL DIVERSION,MERCED R,MERCED,-120.3944,37.3328,183,US Army Corps of Engineers,
BGF,BIG CK DIVERSION NR FISH CAMP,MERCED R,MARIPOSA,-119.61417,37.46944,"5,400",Madera Irrigation District,
BPL,BEAR POOL,MERCED R,MERCED,-120.61,37.3667,459,US Army Corps of Engineers,
BPO,BURNS POOL,MERCED R,MERCED,-120.275,37.3767,167,US Army Corps of Engineers,
BSN,BIG SANDY,MERCED R,MARIPOSA,-119.5856,37.4684,"5,757",UC Merced,
BUR,BURNS CREEK DAM,MERCED R,MERCED,-120.275,37.377,319,US Army Corps of Engineers,
CFL,CRANE FLAT LOOKOUT,MERCED R,MARIPOSA,-119.820561,37.759469,"6,634",National Park Service,
CQP,CHINQUAPIN - YOSEMITE NATIONAL PARK,MERCED R,MARIPOSA,-119.7036,37.6522,"6,042",Yosemite National Park,
CRS,MERCED RIVER AT CRESSY,MERCED R,MERCED,-120.663,37.425,165,CA Dept of Water Resources/South Central Region Office,
DCC,DRY CREEK NEAR COULTERVILLE,MERCED R,MARIPOSA,-120.312,37.654,728,Merced Irrigation District,
DDL,DUDLEYS (MCDIARMID FIRE STATION),MERCED R,MARIPOSA,-120.09614,37.72091,"3,000",CA Dept of Water Resources/DFM-Hydro-SMN,
DFR,DRY CK AT FIELDS RD,MERCED R,MERCED,-120.38944,37.57889,321,Merced Irrigation District,
DGH,DOG HOUSE MEADOW,MERCED R,MARIPOSA,-119.785222,37.7626,"6,100",CA Dept of Water Resources/DFM-Hydro-SMN,
DSN,DRY CREEK NR SNELLING,MERCED R,MERCED,-120.463,37.555,230,Merced Irrigation District,
DUC,DUDLEY RANCH BELOW COULTERVILLE,MERCED R,MARIPOSA,-120.133,37.741,"3,654",Merced Irrigation District,
EPW,EL PORTAL,MERCED R,MARIPOSA,-119.787917,37.675333,"2,073",National Park Service,
EW3,EASTSIDE WELL MW-3,MERCED R,MERCED,-120.70306,37.4775,164,Eastside Water District,
EXC,NEW EXCHEQUER-LK MCCLURE,MERCED R,MARIPOSA,-120.27,37.585,879,Merced Irrigation District,
FLE,FLETCHER LAKE,MERCED R,TUOLUMNE,-119.3433,37.7967,"10,300",Yosemite National Park,
FLK,FLETCHER LAKE 2,MERCED R,TUOLUMNE,-119.3459,37.7956,"10,100",Yosemite National Park,
FLV,VOGELSANG,MERCED R,MARIPOSA,-119.347404,37.794571,"10,095",Merced Irrigation District,
FRS,FRESNO DOME,MERCED R,MARIPOSA,-119.5362,37.4638,"7,141",UC Merced,
FS1,MERCED RIVER AT FERGUSON SLIDE UPSTREAM,MERCED R,MARIPOSA,-119.897264,37.655171,"1,385",CA Dept of Transportation (Caltrans),
